ClientID,Category,Sector,Revenue,NumTransactions,AvgTransactionValue,RiskScore,RiskValue_Financial,RiskValue_Operational,RiskValue_Legal,RiskValue_Reputation,RiskValue_Tech,RiskValue_ESG,Probability_Financial,Probability_Operational,Probability_Legal,Probability_Reputation,Probability_Tech,Probability_ESG,TotalRisk,Status,EstimatedProfit
CLI4085,Pequeno Porte,Varejo,2577605.6371569214,536,4808.965740964406,0.35,4.402879811591781,1.4028798115917813,2.4028798115917813,2.4028798115917813,1.4028798115917813,3.4028798115917813,2,1,2,5,5,4,193.02174549256713,Rejeitada - Risco Elevado,1680268.1847221893
CLI4833,Grande Porte,Transporte,27460775.890860725,3616,7594.241120260156,0.1,1.8706232880637108,2.870623288063711,1.8706232880637108,1.8706232880637108,2.870623288063711,1.8706232880637108,1,5,3,5,2,1,158.94363016445976,Rejeitada - Risco Elevado,18462347.709826153
CLI2878,Pequeno Porte,Transporte,2611444.1285316083,471,5544.4673641860045,0.61,4.161160287319041,1.1611602873190412,2.161160287319041,2.161160287319041,1.1611602873190412,4.161160287319041,1,5,1,5,2,2,138.79773925037577,Rejeitada - Risco Elevado,1717871.0159054261
CLI8529,Grande Porte,Tecnologia,56101510.52891018,3446,16280.18297414689,0.01,1.326927505384082,3.326927505384082,2.326927505384082,3.326927505384082,3.326927505384082,5.0,1,3,5,3,4,5,259.5964328391972,Rejeitada - Risco Elevado,39745014.516402796
CLI7537,Grande Porte,Consultoria,44130972.05461893,2495,17687.76435054867,0.68,2.0907239971621077,3.0907239971621077,2.0907239971621077,2.0907239971621077,3.0907239971621077,3.0907239971621077,2,3,4,5,1,4,184.80429978715807,Rejeitada - Risco Elevado,32757995.391795922
CLI6886,Pequeno Porte,Transporte,1241562.0019563094,118,10521.711880985673,0.4,3.4592981389375854,1.0,1.4592981389375854,1.4592981389375854,1.0,1.4592981389375854,2,4,4,2,3,2,103.45332927962824,Rejeitada - Risco Elevado,868292.8493295588
CLI1534,Médio Porte,Tecnologia,20791266.364008963,668,31124.6502455224,0.99,3.571248439814,2.571248439814,2.571248439814,2.571248439814,2.571248439814,1.5712484398140003,3,5,2,3,2,3,193.701136106422,Rejeitada - Risco Elevado,13512522.418332154
CLI2762,Grande Porte,Tecnologia,30096769.970084164,3961,7598.2756804049895,0.47,2.452908531955934,3.452908531955934,2.452908531955934,2.452908531955934,3.452908531955934,4.452908531955934,3,4,4,2,3,4,240.8739569606069,Rejeitada - Risco Elevado,23196029.1418946
CLI4977,Médio Porte,Serviços Financeiros,25771067.861365467,1086,23730.26506571406,0.56,3.7592014735267703,2.7592014735267703,2.7592014735267703,2.7592014735267703,2.7592014735267703,1.7592014735267703,5,2,5,5,4,3,286.40174440562345,Rejeitada - Risco Elevado,18683153.01050325
CLI2340,Grande Porte,Transporte,31783147.263645153,2439,13031.220690301416,0.46,2.138964157905787,3.138964157905787,2.138964157905787,2.138964157905787,3.138964157905787,3.138964157905787,1,4,3,4,3,1,170.03267026387616,Rejeitada - Risco Elevado,24035352.96523412
CLI5311,Pequeno Porte,Consultoria,4297570.137641964,175,24557.543643668363,0.54,3.770605447609424,1.0,1.7706054476094237,1.7706054476094237,1.0,1.0,5,4,2,1,1,5,148.74179611393924,Rejeitada - Risco Elevado,3002803.211975767
CLI2473,Médio Porte,Serviços Financeiros,10182331.434370821,1193,8535.064069045115,0.53,3.4773672119874877,2.4773672119874877,2.4773672119874877,2.4773672119874877,2.4773672119874877,5.0,2,1,5,5,1,3,198.68729829527427,Rejeitada - Risco Elevado,7209058.498261315
CLI4553,Médio Porte,Transporte,13981205.008802606,1007,13884.016890568626,0.85,3.2246555028677073,2.2246555028677073,2.2246555028677073,2.2246555028677073,2.2246555028677073,2.2246555028677073,3,1,5,3,5,2,181.84916271507802,Rejeitada - Risco Elevado,10579997.020563249
CLI5944,Médio Porte,Transporte,17740465.996413153,1622,10937.401970661624,0.85,2.5214723962951724,1.5214723962951724,1.5214723962951724,1.5214723962951724,1.5214723962951724,3.5214723962951724,4,1,3,1,1,4,126.15950939993931,Rejeitada - Risco Elevado,13200757.673173515
CLI6326,Médio Porte,Consultoria,10595517.065475324,754,14052.409901160907,0.88,3.973117190121596,2.973117190121596,2.973117190121596,2.973117190121596,2.973117190121596,5.0,4,2,2,4,3,1,231.22573454802532,Rejeitada - Risco Elevado,7932141.711551003
CLI2048,Pequeno Porte,Saúde,2196350.118273668,212,10360.142067328623,0.23,4.459030620509678,1.4590306205096781,2.459030620509678,2.459030620509678,1.4590306205096781,1.4590306205096781,3,4,5,2,4,2,183.80438839975486,Rejeitada - Risco Elevado,1676207.862780952
CLI1158,Médio Porte,Saúde,12489032.25651809,2262,5521.234419327184,0.84,3.3140559731499457,2.3140559731499457,2.3140559731499457,2.3140559731499457,2.3140559731499457,2.3140559731499457,2,1,3,5,1,5,165.04175020104637,Rejeitada - Risco Elevado,8980983.614729505
CLI3325,Médio Porte,Varejo,6398241.756010676,1351,4735.930241310641,0.27,4.238313407820739,3.2383134078207383,3.2383134078207383,3.2383134078207383,3.2383134078207383,4.238313407820739,1,2,5,2,4,2,205.29880446924432,Rejeitada - Risco Elevado,4529711.924861634
CLI5873,Grande Porte,Tecnologia,46819229.48121618,2800,16721.153386148635,0.11,2.1374402517387225,3.1374402517387225,2.1374402517387225,2.1374402517387225,3.1374402517387225,4.137440251738722,4,1,4,3,5,4,225.40754089431394,Rejeitada - Risco Elevado,36441075.16422013
CLI2064,Grande Porte,Saúde,49981454.035086684,5818,8590.83087574539,0.19,2.6614595752233914,4.661459575223391,3.6614595752233914,2.6614595752233914,3.6614595752233914,2.6614595752233914,3,3,4,5,2,2,251.5938468674245,Rejeitada - Risco Elevado,36817098.25922745
CLI6702,Pequeno Porte,Tecnologia,5517319.446733851,142,38854.362300942616,0.86,3.821557680554621,1.0,1.821557680554621,1.821557680554621,1.0,2.821557680554621,2,3,2,5,4,1,131.14853794440333,Rejeitada - Risco Elevado,3796201.3799452228
CLI6785,Grande Porte,Manufatura,25283526.923026633,2667,9480.13757893762,0.35,2.122054458769157,3.122054458769157,2.122054458769157,2.122054458769157,3.122054458769157,1.1220544587691574,2,4,4,5,3,2,193.88641116030175,Rejeitada - Risco Elevado,19097248.997679863
CLI7138,Médio Porte,Transporte,15675516.580741491,1774,8836.255118794526,0.71,3.4571752380470078,2.4571752380470078,2.4571752380470078,2.4571752380470078,2.4571752380470078,2.4571752380470078,2,5,2,2,5,4,201.65966856766659,Rejeitada - Risco Elevado,10815365.930922307
CLI6607,Médio Porte,Transporte,13670610.90566133,1742,7847.652643892841,0.74,3.6527508276057294,2.6527508276057294,2.6527508276057294,2.6527508276057294,2.6527508276057294,3.6527508276057294,3,4,1,3,4,3,220.30356124282397,Rejeitada - Risco Elevado,9678365.097091379
CLI1860,Grande Porte,Varejo,43244966.48535695,4870,8879.86991485769,0.92,2.038180065129305,3.038180065129305,2.038180065129305,2.038180065129305,3.038180065129305,5.0,1,2,4,3,2,2,143.83264312620665,Rejeitada - Risco Elevado,31022769.41552196
CLI5477,Médio Porte,Saúde,8117759.421939836,793,10236.771023883777,0.96,2.641680970009188,1.6416809700091881,1.6416809700091881,1.6416809700091881,1.6416809700091881,1.0,2,4,1,5,1,4,117.21749626053291,Rejeitada - Risco Elevado,5653137.748969506
CLI7102,Grande Porte,Transporte,22561159.065206975,4077,5533.764794016918,0.74,2.0434043581049326,3.0434043581049326,2.0434043581049326,2.0434043581049326,3.0434043581049326,2.0434043581049326,4,3,4,5,2,4,201.86298787133902,Rejeitada - Risco Elevado,14938338.585224535
CLI8140,Médio Porte,Saúde,5634118.80582022,1419,3970.4854163637915,0.39,3.130677890493213,2.130677890493213,2.130677890493213,2.130677890493213,2.130677890493213,3.130677890493213,5,3,5,5,3,1,224.0223659253756,Rejeitada - Risco Elevado,4332674.19109704
CLI8664,Grande Porte,Saúde,36301068.72094441,4914,7387.27487198706,0.91,2.447923329412506,3.447923329412506,2.447923329412506,2.447923329412506,3.447923329412506,5.0,5,1,3,1,2,4,196.8440898000378,Rejeitada - Risco Elevado,24982962.547673687
CLI2573,Grande Porte,Varejo,27866369.610683292,2854,9763.969730442639,0.12,2.3493666137281277,3.3493666137281277,2.3493666137281277,2.3493666137281277,3.3493666137281277,5.0,5,2,4,4,5,3,272.6961621668909,Rejeitada - Risco Elevado,19348441.631140497
CLI1742,Médio Porte,Saúde,12043078.214690296,1672,7202.797975293239,0.43,2.440404544995697,1.440404544995697,1.440404544995697,1.440404544995697,1.440404544995697,1.440404544995697,3,1,5,4,1,5,120.14953178468589,Rejeitada - Risco Elevado,9428353.646102354
CLI2562,Médio Porte,Transporte,15071641.193440301,1019,14790.619424377135,0.53,3.180710201630789,2.180710201630789,2.180710201630789,2.180710201630789,2.180710201630789,5.0,4,5,1,3,2,3,208.92687330763204,Rejeitada - Risco Elevado,11666411.650397012
CLI7794,Grande Porte,Consultoria,27954858.044472754,1329,21034.50567680418,0.79,1.9218895522731043,2.9218895522731043,1.9218895522731043,1.9218895522731043,2.9218895522731043,2.9218895522731043,5,1,4,5,4,2,195.12628060003317,Rejeitada - Risco Elevado,20150056.10132379
CLI1242,Médio Porte,Consultoria,13139736.330323339,683,19238.266955085415,0.68,3.69867756970491,2.69867756970491,2.69867756970491,2.69867756970491,2.69867756970491,2.69867756970491,2,5,5,1,2,1,174.61933175199948,Rejeitada - Risco Elevado,9197130.49681236
CLI8063,Pequeno Porte,Tecnologia,6413136.142510757,95,67506.69623695534,0.72,4.569465094899614,1.5694650948996132,2.569465094899613,2.569465094899613,1.5694650948996132,1.5694650948996132,2,3,1,4,5,4,173.8488123072702,Rejeitada - Risco Elevado,4256607.893647104
CLI1872,Pequeno Porte,Serviços Financeiros,2830373.773729686,310,9130.237979773181,0.71,3.891391594766568,1.0,1.891391594766568,1.891391594766568,1.0,2.891391594766568,5,5,1,1,2,2,157.76427219589615,Rejeitada - Risco Elevado,2146185.9461953836
CLI6691,Pequeno Porte,Serviços Financeiros,6147753.399565047,220,27944.333634386574,0.15,3.5833619016587246,1.0,1.5833619016587246,1.5833619016587246,1.0,1.5833619016587246,3,1,4,4,2,3,130.6682664928886,Rejeitada - Risco Elevado,4400636.208367219
CLI3438,Grande Porte,Transporte,16016782.643628659,4701,3407.101179244556,0.09,1.4456758460867452,2.445675846086745,1.4456758460867452,1.4456758460867452,2.445675846086745,4.445675846086745,2,4,1,1,1,3,114.94676476607701,Rejeitada - Risco Elevado,11599919.189646492
CLI6731,Grande Porte,Saúde,37375389.98271604,4893,7638.542812735753,0.59,2.046196174339158,3.046196174339158,2.046196174339158,2.046196174339158,3.046196174339158,1.0461961743391577,1,3,5,1,3,4,136.81796663468864,Rejeitada - Risco Elevado,25738930.40851811
CLI3318,Médio Porte,Transporte,8746717.380938126,593,14749.944993150297,0.51,3.2106679015307193,2.2106679015307193,2.2106679015307193,2.2106679015307193,2.2106679015307193,4.210667901530719,4,3,1,4,1,3,188.32541730408892,Rejeitada - Risco Elevado,6783719.435979763
CLI1689,Pequeno Porte,Varejo,1032783.2209979343,467,2211.5272398242705,0.06,4.657871378459207,1.6578713784592076,2.6578713784592076,2.6578713784592076,1.6578713784592076,1.6578713784592076,4,3,3,3,4,2,213.31396751981816,Rejeitada - Risco Elevado,807964.3018436612
CLI8934,Médio Porte,Serviços Financeiros,18910667.227917943,1409,13421.339409452054,0.82,3.6228533623922266,2.6228533623922266,2.6228533623922266,2.6228533623922266,2.6228533623922266,1.6228533623922266,2,1,1,1,3,3,113.78269458286574,Rejeitada - Risco Elevado,14164192.795260558
CLI6695,Médio Porte,Consultoria,16713963.337564807,1234,13544.540792191903,0.4,2.526107559575844,1.526107559575844,1.526107559575844,1.526107559575844,1.526107559575844,3.526107559575844,5,2,3,3,3,1,140.87974428946075,Rejeitada - Risco Elevado,12805983.409845045
CLI2579,Médio Porte,Manufatura,11377000.44008851,1898,5994.20465758088,0.2,2.2352655534640644,1.2352655534640644,1.2352655534640644,1.2352655534640644,1.2352655534640644,3.2352655534640644,5,2,1,4,5,1,128.5859787236611,Rejeitada - Risco Elevado,7910556.771027536
CLI1595,Grande Porte,Varejo,45500793.06912626,4858,9366.157486440154,0.9,2.5714797969358956,3.5714797969358956,2.5714797969358956,2.5714797969358956,3.5714797969358956,2.5714797969358956,1,4,3,5,2,2,201.4321059885768,Rejeitada - Risco Elevado,30954336.740171384
CLI2509,Médio Porte,Transporte,11881662.18686491,1145,10376.997543113459,0.08,3.335615507183003,2.335615507183003,2.335615507183003,2.335615507183003,2.335615507183003,2.335615507183003,1,2,3,3,5,1,145.1369304309802,Rejeitada - Risco Elevado,7707256.760690764
CLI1383,Grande Porte,Transporte,32401652.738124356,2483,13049.39699481448,0.42,2.130387311069186,3.130387311069186,2.130387311069186,2.130387311069186,3.130387311069186,3.130387311069186,1,2,4,2,2,1,116.99781630918257,Rejeitada - Risco Elevado,22829969.40469657
CLI4087,Grande Porte,Consultoria,31616433.808763772,2723,11610.882779568039,0.23,1.4629342478974312,2.462934247897431,1.4629342478974312,1.4629342478974312,2.462934247897431,4.462934247897431,3,4,2,4,1,1,122.62779186543558,Rejeitada - Risco Elevado,24816630.833336025
CLI3640,Grande Porte,Saúde,51072858.62643898,2428,21034.950010889203,0.98,1.0,2.1729230416341387,1.1729230416341387,2.1729230416341387,2.1729230416341387,3.1729230416341387,5,4,1,1,3,1,109.74399862373141,Rejeitada - Risco Elevado,39931376.2381348
CLI9274,Grande Porte,Manufatura,42525793.99700766,3729,11404.074550015463,0.76,1.221468328958835,2.221468328958835,1.221468328958835,1.221468328958835,2.221468328958835,4.221468328958835,2,1,3,5,3,1,101.95250472440661,Rejeitada - Risco Elevado,30070347.880009446
CLI8625,Grande Porte,Consultoria,46281588.47768175,2520,18365.709713365773,0.72,1.7421145496933148,2.742114549693315,1.7421145496933148,1.7421145496933148,2.742114549693315,2.742114549693315,1,4,1,3,3,1,125.074185683439,Rejeitada - Risco Elevado,35156964.81450072
CLI2379,Pequeno Porte,Manufatura,3630015.362267559,103,35242.86759483067,0.8,4.010797315467065,1.0107973154670655,2.0107973154670655,2.0107973154670655,1.0107973154670655,1.0107973154670655,1,4,5,4,1,3,119.74501476722752,Rejeitada - Risco Elevado,2602052.7103961026
CLI1649,Grande Porte,Transporte,26899368.269498684,5334,5043.00117538408,0.39,2.3130042361058663,4.313004236105866,3.3130042361058663,2.3130042361058663,3.3130042361058663,2.3130042361058663,4,2,4,3,4,1,215.1623134718341,Rejeitada - Risco Elevado,20752621.769091483
CLI8921,Pequeno Porte,Saúde,2171098.4722194835,373,5820.639335709071,0.16,3.8540791387931748,1.0,1.854079138793175,1.854079138793175,1.0,4.854079138793175,2,4,4,2,3,2,136.45500727414066,Rejeitada - Risco Elevado,1577166.6578095148
CLI2633,Grande Porte,Tecnologia,42021891.62790803,2925,14366.458676207872,0.31,2.099640682575949,3.099640682575949,2.099640682575949,2.099640682575949,3.099640682575949,3.099640682575949,5,4,1,4,4,4,237.1669427969873,Rejeitada - Risco Elevado,31304512.89866421
CLI5752,Médio Porte,Varejo,10051611.665446583,1392,7220.985391843809,0.33,2.8853827189203,1.8853827189203003,1.8853827189203003,1.8853827189203003,1.8853827189203003,4.8853827189203,3,3,2,2,2,5,184.43525944873983,Rejeitada - Risco Elevado,7830491.407525057
CLI9372,Pequeno Porte,Saúde,2936564.2404781478,156,18824.129746654795,0.68,3.7269356544059127,1.0,1.7269356544059127,1.7269356544059127,1.0,4.726935654405913,3,1,3,2,5,1,126.89661921301875,Rejeitada - Risco Elevado,2142680.4825809747
CLI2045,Médio Porte,Serviços Financeiros,27736469.302247304,2128,13034.055123236516,0.16,3.0925165583799363,2.0925165583799363,2.0925165583799363,2.0925165583799363,2.0925165583799363,2.0925165583799363,4,1,2,3,2,2,143.45847694441625,Rejeitada - Risco Elevado,21540850.265196078
CLI2938,Grande Porte,Transporte,34090869.78746598,3432,9933.237117560018,0.43,2.00497168884863,3.00497168884863,2.00497168884863,2.00497168884863,3.00497168884863,5.0,2,3,4,3,1,1,137.2634995089774,Rejeitada - Risco Elevado,25741833.735042974
CLI7757,Pequeno Porte,Saúde,2571658.846071568,163,15777.048135408391,0.1,3.754355046126036,1.0,1.754355046126036,1.754355046126036,1.0,4.754355046126036,3,3,1,4,1,2,141.19162202954558,Rejeitada - Risco Elevado,1775021.3994013276
CLI4015,Pequeno Porte,Consultoria,2072880.3247601262,262,7911.756964733306,0.07,4.259122311636873,1.259122311636873,2.259122311636873,2.259122311636873,1.259122311636873,2.259122311636873,2,2,4,1,3,4,133.2882163865755,Rejeitada - Risco Elevado,1430516.366913263
CLI9749,Grande Porte,Saúde,34018481.434154846,2795,12171.19192635236,0.55,1.8575984186567034,2.8575984186567034,1.8575984186567034,1.8575984186567034,2.8575984186567034,2.8575984186567034,5,1,1,1,4,4,152.74389721268574,Rejeitada - Risco Elevado,26614145.18144963
CLI2940,Médio Porte,Varejo,7241622.9180002455,1367,5297.456414045534,0.23,3.596419255034519,2.596419255034519,2.596419255034519,2.596419255034519,2.596419255034519,4.596419255034519,5,3,5,5,4,1,280.2562484833138,Rejeitada - Risco Elevado,4935187.791578787
CLI9660,Grande Porte,Manufatura,41223277.47869377,4318,9546.845178020789,0.18,2.169326820659682,3.169326820659682,2.169326820659682,2.169326820659682,3.169326820659682,4.169326820659681,2,2,2,1,2,2,121.28105328836632,Rejeitada - Risco Elevado,32165194.68563041
CLI4713,Pequeno Porte,Consultoria,1320743.6273223513,269,4909.827610863759,0.19,2.8892268514720154,1.0,1.0,1.0,1.0,2.8892268514720154,1,1,4,1,3,1,56.11381481177612,Aprovada,1006825.24904436
CLI5495,Grande Porte,Consultoria,44105447.91147391,1450,30417.55028377511,0.51,2.4645435315400204,3.4645435315400204,2.4645435315400204,2.4645435315400204,3.4645435315400204,1.4645435315400204,4,1,5,1,4,2,176.65987308164134,Rejeitada - Risco Elevado,30701832.471280307
CLI1255,Médio Porte,Tecnologia,23609099.8462109,771,30621.40057874306,0.03,3.0363016938747864,2.0363016938747864,2.0363016938747864,2.0363016938747864,2.0363016938747864,4.036301693874786,5,2,5,4,5,4,252.63016938747865,Rejeitada - Risco Elevado,17004895.64472803
CLI6554,Pequeno Porte,Saúde,5138471.742012964,127,40460.40741742491,0.32,4.212760660718457,1.2127606607184573,2.212760660718457,2.212760660718457,1.2127606607184573,5.0,5,5,3,5,3,1,234.36122012537962,Rejeitada - Risco Elevado,3887710.3918407094
CLI9859,Pequeno Porte,Saúde,2193667.980149261,264,8309.348409656292,0.82,3.7110363986361605,1.0,1.7110363986361605,1.7110363986361605,1.0,1.0,4,4,3,4,3,5,166.84078353317187,Rejeitada - Risco Elevado,1484812.1762609694
CLI9679,Pequeno Porte,Transporte,1324763.0847117133,494,2681.7066492139943,0.82,3.3976258616501442,1.0,1.3976258616501442,1.3976258616501442,1.0,1.3976258616501442,2,5,2,3,4,5,120.29078963590663,Rejeitada - Risco Elevado,892276.7511946846
CLI9599,Pequeno Porte,Tecnologia,2232225.7993758568,127,17576.58109744769,0.51,4.106670342658751,1.1066703426587512,2.1066703426587514,2.1066703426587514,1.1066703426587512,3.1066703426587514,3,4,4,1,1,2,138.18687987420756,Rejeitada - Risco Elevado,1484673.4355250983
CLI2987,Grande Porte,Tecnologia,45055671.27710083,5035,8948.494791877027,0.02,1.8582234976548013,3.858223497654801,2.858223497654801,1.8582234976548013,2.858223497654801,4.8582234976548015,4,4,1,3,4,5,253.9489973006581,Rejeitada - Risco Elevado,34952277.184008844
CLI4607,Grande Porte,Tecnologia,54205327.135563515,2073,26148.25235676002,0.14,1.3598865210039577,3.3598865210039577,2.3598865210039577,3.3598865210039577,3.3598865210039577,2.3598865210039577,1,3,3,5,3,3,213.91182951228495,Rejeitada - Risco Elevado,39357108.19363744
CLI8632,Pequeno Porte,Varejo,1818660.4307548727,456,3988.2904183220894,0.51,4.143800231859038,1.1438002318590381,2.143800231859038,2.143800231859038,1.1438002318590381,2.143800231859038,5,1,1,2,4,3,173.63461553455554,Rejeitada - Risco Elevado,1373643.3961385938
CLI7645,Grande Porte,Tecnologia,41975544.440170005,4599,9127.102509278106,0.62,1.515179564724977,2.515179564724977,1.515179564724977,1.515179564724977,2.515179564724977,1.515179564724977,4,3,3,1,3,3,125.51703083657345,Rejeitada - Risco Elevado,29479621.771510813
CLI2566,Médio Porte,Varejo,9359401.47261331,1126,8312.079460580204,0.0,3.85697218104003,2.85697218104003,2.85697218104003,2.85697218104003,2.85697218104003,4.85697218104003,3,1,2,1,4,3,190.13346995720164,Rejeitada - Risco Elevado,6330835.727454291
CLI1487,Pequeno Porte,Manufatura,2021983.0473436674,336,6017.80668852282,0.66,4.065163651017885,1.065163651017885,2.065163651017885,2.065163651017885,1.065163651017885,2.065163651017885,2,4,4,4,2,2,144.6917828732877,Rejeitada - Risco Elevado,1446842.3332445014
CLI4507,Médio Porte,Tecnologia,21816994.00150748,1909,11428.493452858816,0.14,2.74106221672538,1.7410622167253802,1.7410622167253802,1.7410622167253802,1.7410622167253802,1.0,1,3,3,4,2,2,105.01735970317053,Rejeitada - Risco Elevado,14792852.38226924
CLI9670,Grande Porte,Transporte,33225200.9531155,2623,12666.870359556044,0.1,2.2125983652268477,3.2125983652268477,2.2125983652268477,2.2125983652268477,3.2125983652268477,4.212598365226848,4,5,2,4,4,1,230.07086104428203,Rejeitada - Risco Elevado,24125604.229889534
CLI1389,Pequeno Porte,Saúde,2626027.0589572545,142,18493.148302515878,0.51,3.9700006379057484,1.0,1.9700006379057486,1.9700006379057486,1.0,3.9700006379057484,3,5,3,1,2,2,138.95002232670123,Rejeitada - Risco Elevado,2017530.1110748842
CLI2968,Grande Porte,Consultoria,21326806.055349037,2603,8193.164062754144,0.87,1.4393986480231016,2.4393986480231016,1.4393986480231016,1.4393986480231016,2.4393986480231016,2.4393986480231016,4,4,3,5,3,1,153.34888508196363,Rejeitada - Risco Elevado,13769582.208972158
CLI4971,Médio Porte,Serviços Financeiros,27059957.62925771,453,59735.0058041009,0.59,3.532451704408534,2.532451704408534,2.532451704408534,2.532451704408534,2.532451704408534,2.532451704408534,4,5,3,5,3,1,245.38820169235953,Rejeitada - Risco Elevado,19160400.117196802
CLI1833,Médio Porte,Varejo,18141667.201348517,1716,10572.067133652981,0.55,3.39440828154323,2.39440828154323,2.39440828154323,2.39440828154323,2.39440828154323,3.39440828154323,3,2,4,2,2,3,172.45331345568025,Rejeitada - Risco Elevado,13264030.581912315
CLI7451,Grande Porte,Tecnologia,49552613.380836286,3261,15195.526949045166,0.53,2.486445929434348,3.486445929434348,2.486445929434348,2.486445929434348,3.486445929434348,2.486445929434348,5,4,1,4,2,2,217.94278249587913,Rejeitada - Risco Elevado,34722255.18085419
CLI2963,Médio Porte,Varejo,6814709.2742146,1110,6139.377724517658,0.75,3.6677262511954254,2.6677262511954254,2.6677262511954254,2.6677262511954254,2.6677262511954254,3.6677262511954254,4,5,4,4,3,4,288.10172011476084,Rejeitada - Risco Elevado,4423671.505254921
CLI8294,Pequeno Porte,Varejo,1821642.1069273953,294,6196.06158818842,0.64,3.8126995572604496,1.0,1.8126995572604496,1.8126995572604496,1.0,1.0,2,3,1,1,2,1,75.6285920306881,Rejeitada - Risco Elevado,1422299.8110344573
CLI7592,Grande Porte,Consultoria,32050495.710937385,2686,11932.425804518758,0.82,1.2144252520632632,2.214425252063263,1.2144252520632632,1.2144252520632632,2.214425252063263,1.2144252520632632,5,5,2,2,3,1,124.296319156808,Rejeitada - Risco Elevado,23990128.392356515
CLI7245,Pequeno Porte,Varejo,3524154.9753317526,231,15256.082144293301,0.24,4.209301661494213,1.2093016614942134,2.209301661494213,2.209301661494213,1.2093016614942134,3.209301661494213,3,2,2,5,3,2,175.06971962758337,Rejeitada - Risco Elevado,2727849.3375219754
CLI5906,Grande Porte,Consultoria,43094022.72690191,2144,20099.824033069923,0.1,2.218336127162276,3.218336127162276,2.218336127162276,2.218336127162276,3.218336127162276,1.2183361271622763,4,2,4,4,5,5,223.74193208041623,Rejeitada - Risco Elevado,30410358.400171842
CLI6089,Grande Porte,Manufatura,35170284.829664774,4733,7430.865165785923,0.32,2.4551776014683666,3.4551776014683666,2.4551776014683666,2.4551776014683666,3.4551776014683666,1.4551776014683664,5,1,3,5,5,2,236.51080653068465,Rejeitada - Risco Elevado,22712800.545221057
